Problem_Name,Problem_Category,Ministry,Minister_Name,Days_To_Complete
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,29
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,32
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,30
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,31
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,31
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,24
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,30
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,28
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,31
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,28
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,29
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,24
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,30
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,30
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,25
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,23
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,31
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,30
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,23
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,30
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,25
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,25
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,25
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,30
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,30
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,23
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,23
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,24
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,26
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,29
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,28
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,28
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,29
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,26
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,32
Medicine shortage in PHC,health,minister for medical and family welfare,Ma Subramanian,28
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,8
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,8
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,9
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,6
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,3
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,11
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,6
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,6
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,11
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,8
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,8
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,5
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,4
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,5
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,6
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,4
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,4
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,11
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,6
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,9
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,5
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,8
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,2
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,7
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,4
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,2
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,11
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,3
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,11
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,3
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,5
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,5
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,2
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,9
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,28
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,28
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,36
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,36
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,36
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,28
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,28
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,32
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,34
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,31
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,30
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,36
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,29
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,27
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,33
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,32
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,31
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,33
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,31
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,34
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,34
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,34
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,34
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,36
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,32
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,36
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,31
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,31
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,27
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,35
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,34
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,32
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,35
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,34
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,33
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,35
Indoor stadium complaint,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,29
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,25
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,28
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,25
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,32
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,25
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,27
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,27
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,33
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,30
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,30
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,28
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,33
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,32
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,25
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,33
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,28
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,29
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,25
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,29
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,26
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,30
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,31
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,26
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,31
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,30
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,33
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,30
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,29
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,28
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,27
Tourism road maintenance,tourism,minister for tourism,M Mathiventhan,25
University certificate delay,higher education,minister for higher education,K Ponmudi,9
University certificate delay,higher education,minister for higher education,K Ponmudi,7
University certificate delay,higher education,minister for higher education,K Ponmudi,6
University certificate delay,higher education,minister for higher education,K Ponmudi,8
University certificate delay,higher education,minister for higher education,K Ponmudi,8
University certificate delay,higher education,minister for higher education,K Ponmudi,7
University certificate delay,higher education,minister for higher education,K Ponmudi,13
University certificate delay,higher education,minister for higher education,K Ponmudi,15
University certificate delay,higher education,minister for higher education,K Ponmudi,10
University certificate delay,higher education,minister for higher education,K Ponmudi,9
University certificate delay,higher education,minister for higher education,K Ponmudi,11
University certificate delay,higher education,minister for higher education,K Ponmudi,8
University certificate delay,higher education,minister for higher education,K Ponmudi,14
University certificate delay,higher education,minister for higher education,K Ponmudi,7
University certificate delay,higher education,minister for higher education,K Ponmudi,14
University certificate delay,higher education,minister for higher education,K Ponmudi,13
University certificate delay,higher education,minister for higher education,K Ponmudi,8
University certificate delay,higher education,minister for higher education,K Ponmudi,12
University certificate delay,higher education,minister for higher education,K Ponmudi,11
University certificate delay,higher education,minister for higher education,K Ponmudi,11
University certificate delay,higher education,minister for higher education,K Ponmudi,14
University certificate delay,higher education,minister for higher education,K Ponmudi,14
University certificate delay,higher education,minister for higher education,K Ponmudi,7
University certificate delay,higher education,minister for higher education,K Ponmudi,14
University certificate delay,higher education,minister for higher education,K Ponmudi,10
University certificate delay,higher education,minister for higher education,K Ponmudi,11
University certificate delay,higher education,minister for higher education,K Ponmudi,11
University certificate delay,higher education,minister for higher education,K Ponmudi,15
University certificate delay,higher education,minister for higher education,K Ponmudi,6
University certificate delay,higher education,minister for higher education,K Ponmudi,14
University certificate delay,higher education,minister for higher education,K Ponmudi,6
University certificate delay,higher education,minister for higher education,K Ponmudi,9
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,19
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,17
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,18
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,10
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,10
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,17
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,14
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,16
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,11
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,17
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,16
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,10
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,19
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,14
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,11
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,14
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,17
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,16
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,13
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,14
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,18
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,15
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,16
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,18
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,10
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,16
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,11
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,16
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,16
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,13
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,12
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,17
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,17
Tourism information complaint,tourism,minister for tourism,M Mathiventhan,10
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,11
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,11
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,14
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,16
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,14
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,8
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,15
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,13
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,13
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,8
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,14
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,10
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,11
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,13
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,8
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,13
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,11
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,10
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,10
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,14
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,11
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,7
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,13
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,9
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,12
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,14
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,7
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,11
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,7
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,16
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,12
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,10
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,9
Lack of bus stop facility,transport,minister for transport,SR Rajakannappan,13
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,29
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,32
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,28
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,29
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,35
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,27
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,34
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,27
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,29
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,34
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,34
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,32
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,35
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,32
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,31
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,26
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,32
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,33
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,34
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,27
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,27
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,33
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,30
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,29
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,33
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,27
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,28
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,30
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,34
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,26
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,30
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,28
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,26
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,33
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,33
School toilet maintenance issue,education,minister for school education,Anbil Mahesh Poyyamozhi,31
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,7
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,9
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,4
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,7
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,8
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,6
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,11
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,10
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,7
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,4
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,8
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,6
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,4
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,2
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,9
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,8
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,6
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,10
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,10
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,2
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,10
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,10
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,2
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,4
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,4
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,2
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,3
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,3
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,3
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,10
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,5
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,11
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,6
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,8
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,2
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,8
Small industry subsidy issue,industries,minister for industries,Thangam Thennarasu,4
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,28
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,28
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,25
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,26
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,33
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,29
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,30
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,27
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,29
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,29
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,27
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,26
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,24
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,30
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,32
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,28
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,33
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,29
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,29
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,28
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,31
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,25
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,26
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,33
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,32
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,27
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,27
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,29
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,29
Transformer damage complaint,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,32
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,18
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,13
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,14
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,16
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,15
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,18
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,17
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,20
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,12
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,16
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,12
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,18
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,15
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,18
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,20
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,19
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,20
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,12
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,18
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,15
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,13
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,17
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,21
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,15
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,14
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,16
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,18
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,15
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,12
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,16
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,20
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,18
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,18
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,13
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,14
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,17
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,21
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,21
Rice supply shortage,food,minister for food and civil supplies,R Sakkarapani,13
Prison administration complaint,law,minister for law,S Raghupathy,13
Prison administration complaint,law,minister for law,S Raghupathy,20
Prison administration complaint,law,minister for law,S Raghupathy,16
Prison administration complaint,law,minister for law,S Raghupathy,11
Prison administration complaint,law,minister for law,S Raghupathy,14
Prison administration complaint,law,minister for law,S Raghupathy,20
Prison administration complaint,law,minister for law,S Raghupathy,12
Prison administration complaint,law,minister for law,S Raghupathy,14
Prison administration complaint,law,minister for law,S Raghupathy,13
Prison administration complaint,law,minister for law,S Raghupathy,14
Prison administration complaint,law,minister for law,S Raghupathy,15
Prison administration complaint,law,minister for law,S Raghupathy,20
